"sequencial","dataadmissao","transferido","codigoatleta","codigoclube"
15406,2015-12-06,false,19087,26
15407,2015-12-18,false,19088,25
15408,2015-12-18,false,19089,25
15409,2015-12-18,false,19090,25
15410,2015-12-18,false,19091,25
15411,2015-12-18,false,19092,25
15412,2015-12-18,false,19093,25
15413,2015-12-18,false,19094,25
15414,2015-12-18,false,19096,25
15415,2015-12-20,false,19097,10
15416,2015-12-20,false,19098,10
15417,2015-12-20,false,19099,24
15418,2015-12-20,false,19100,24
15419,2015-12-20,false,19101,24
15420,2015-12-20,false,19102,24
15421,2015-12-20,false,19103,24
15422,2015-12-20,false,19104,24
15423,2015-12-20,false,19105,24
15424,2015-12-20,false,19106,24
15425,2015-12-13,false,19107,12
19295,2016-10-05,false,23329,23
15427,2015-12-13,false,19110,12
15428,2015-12-13,false,19111,12
15429,2015-12-13,false,19112,12
15430,2015-12-13,false,19113,12
15431,2015-12-13,false,19114,12
15432,2015-12-13,false,19115,12
15433,2015-12-13,false,19116,12
15434,2015-12-13,false,19117,12
15435,2015-12-13,false,19118,12
15436,2015-12-13,false,19119,12
15437,2015-12-13,false,19120,12
15438,2015-12-13,false,19121,12
15439,2015-12-13,false,19122,12
15440,2015-12-13,false,19123,12
15441,2015-12-13,false,19124,12
15442,2015-12-13,false,19125,12
15443,2015-12-13,false,19126,12
15444,2015-12-13,false,19127,12
15445,2015-12-13,false,19128,12
15446,2015-12-13,false,19129,12
15447,2015-12-13,false,19130,12
15448,2015-12-13,false,19131,12
15449,2015-12-13,false,19132,12
15450,2015-12-13,false,19133,12
15451,2015-12-13,false,19134,12
15452,2015-12-13,false,19135,12
15453,2015-12-13,false,19136,12
15454,2015-12-20,false,19137,23
15455,2015-12-20,false,19138,23
15456,2015-12-20,false,19139,23
15457,2015-12-20,false,19140,23
15458,2015-12-20,false,19141,23
15459,2015-12-20,false,19142,23
15460,2015-12-20,false,19143,23
15461,2015-12-20,false,19144,23
15462,2015-12-20,false,19146,23
23136,2023-08-07,false,26670,115
15464,2015-12-20,false,19148,23
15465,2015-12-20,false,19150,23
15466,2015-12-20,false,19151,27
15467,2015-12-20,false,19152,27
15468,2015-12-20,false,19153,27
15469,2015-12-20,false,19154,27
15470,2015-12-20,false,19155,27
15471,2015-12-20,false,19156,27
15472,2015-12-20,false,19157,27
15473,2015-12-20,false,19158,27
15474,2015-12-13,false,19159,41
15475,2015-12-13,false,19160,41
15476,2015-12-13,false,19161,41
15477,2015-12-13,false,19162,41
15478,2015-12-13,false,19163,41
15479,2015-12-13,false,19164,41
15480,2015-12-13,false,19165,41
15481,2015-12-13,false,19166,41
15482,2015-12-13,false,19167,41
15483,2015-12-13,false,19169,41
15484,2015-12-13,false,19170,41
15485,2015-12-13,false,19171,41
15486,2015-12-13,false,19172,41
15487,2015-12-13,false,19173,41
15488,2015-12-13,false,19174,41
15489,2015-12-13,false,19175,41
15490,2015-12-13,false,19176,41
15491,2015-12-13,false,19177,41
15492,2015-12-13,false,19178,41
15493,2015-12-13,false,19179,41
15494,2015-12-13,false,19180,41
15495,2015-12-13,false,19181,41
15496,2015-12-13,false,19182,41
15497,2015-12-13,false,19183,41
15498,2015-12-13,false,19184,41
15499,2015-12-13,false,19185,41
15500,2015-12-13,false,19186,41
15501,2015-12-13,false,19187,41
15502,2015-12-13,false,19188,41
15503,2015-12-13,false,19189,41
15504,2015-12-13,false,19190,41
15505,2015-12-13,false,19191,41
15506,2015-12-13,false,19192,41
15507,2015-12-13,false,19193,41
15508,2015-12-13,false,19194,41
15509,2015-12-13,false,19195,41
15510,2015-12-11,false,19197,42
15511,2015-12-11,false,19198,42
15512,2015-12-11,false,19199,42
15513,2015-12-11,false,19200,42
15514,2015-12-11,false,19201,42
15515,2015-12-11,false,19202,42
15516,2015-12-11,false,19203,15
15517,2015-12-11,false,19204,42
15518,2015-12-11,false,19205,42
15519,2015-12-11,false,19206,42
